source_file	target_course	field	raw_text	required_course_key	reason
cafs_curriculum_2024.org	AANS 303	prereq_all	agri203, aans204, aans202	AANS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 303	prereq_all	agri203, aans204, aans202	AANS202	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 302	prereq_all	aans204, aans206	AANS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 302	prereq_all	aans204, aans206	AANS206	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 304	prereq_all	aans204, aans206	AANS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 304	prereq_all	aans204, aans206	AANS206	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 306	prereq_all	aans204, aans206	AANS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 306	prereq_all	aans204, aans206	AANS206	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 407	prereq_all	aans202, aans204, aans206	AANS202	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 407	prereq_all	aans202, aans204, aans206	AANS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 407	prereq_all	aans202, aans204, aans206	AANS206	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 409	prereq_all	aans302, aans304, aans306	AANS302	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 409	prereq_all	aans302, aans304, aans306	AANS304	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 409	prereq_all	aans302, aans304, aans306	AANS306	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 410	prereq_all	aans302, aans304, aans306	AANS302	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 410	prereq_all	aans302, aans304, aans306	AANS304	target course not mapped to any curriculum
cafs_curriculum_2024.org	AANS 410	prereq_all	aans302, aans304, aans306	AANS306	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 104	prereq_all	biol101	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 204	prereq_all	biol101, agri106, acrs104	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 204	prereq_all	biol101, agri106, acrs104	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 204	prereq_all	biol101, agri106, acrs104	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 208	prereq_all	biol101, agri106, acrs104	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 208	prereq_all	biol101, agri106, acrs104	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 208	prereq_all	biol101, agri106, acrs104	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 301	prereq_all	agri106, asos201, envs201, acrs104	AGRI106	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 301	prereq_all	agri106, asos201, envs201, acrs104	ASOS201	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 301	prereq_all	agri106, asos201, envs201, acrs104	ENVS201	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 301	prereq_all	agri106, asos201, envs201, acrs104	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 302	prereq_all	asos201, acrs104, acrs204	ASOS201	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 302	prereq_all	asos201, acrs104, acrs204	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 302	prereq_all	asos201, acrs104, acrs204	ACRS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 304	prereq_all	asos201, acrs104, acrs204	ASOS201	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 304	prereq_all	asos201, acrs104, acrs204	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 304	prereq_all	asos201, acrs104, acrs204	ACRS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 306	prereq_all	asos201, acrs104, acrs204	ASOS201	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 306	prereq_all	asos201, acrs104, acrs204	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 306	prereq_all	asos201, acrs104, acrs204	ACRS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 401	prereq_all	asos201, acrs104, acrs204	ASOS201	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 401	prereq_all	asos201, acrs104, acrs204	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 401	prereq_all	asos201, acrs104, acrs204	ACRS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 409	prereq_all	asos204, asos305, agri307	ASOS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 409	prereq_all	asos204, asos305, agri307	ASOS305	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 409	prereq_all	asos204, asos305, agri307	AGRI307	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 402	prereq_all	acrs204, acrs301	ACRS204	target course not mapped to any curriculum
cafs_curriculum_2024.org	ACRS 402	prereq_all	acrs204, acrs301	ACRS301	target course not mapped to any curriculum
cafs_curriculum_2024.org	ASOS 201	prereq_all	biol101, chem101, acrs104	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	ASOS 201	prereq_all	biol101, chem101, acrs104	CHEM101	target course not mapped to any curriculum
cafs_curriculum_2024.org	ASOS 201	prereq_all	biol101, chem101, acrs104	ACRS104	target course not mapped to any curriculum
cafs_curriculum_2024.org	ASOS 202	prereq_all	biol101, asos201, agri106	BIOL101	target course not mapped to any curriculum
cafs_curriculum_2024.org	ASOS 202	prereq_all	biol101, asos201, agri106	ASOS201	target course not mapped to any curriculum
cafs_curriculum_2024.org	ASOS 202	prereq_all	biol101, asos201, agri106	AGRI106	target course not mapped to any curriculum
